ID,Mass,X,Y,Speed,Direction
4,1,629.453,590,2.60438,-2.31044
5,1,33.7,507.564,11,3.14341
6,1,35.6233,262.159,5,0.779478
7,1,71.2953,146.223,11,6.25749
8,1,576.742,590,11.5353,-3.05482
9,1,206.512,213.202,10,2.86
0,1,46.1331,310.355,17,1.03585
1,1,453.392,415.511,6,6.23927
2,1,158.548,501.188,7,4.56373
3,1,662.317,401.381,19,4.79959
4,1,629.278,590,2.55229,2.31044
5,1,32.6,517.852,11,3.14341
6,1,35.979,272.8,5,0.779478
7,1,72.3949,156.484,11,6.25749
8,1,575.593,590,11.3046,3.05482
9,1,205.551,223.77,10,2.86
0,1,46.1331,310.355,17,1.03585
1,1,453.392,415.511,6,6.23927
2,1,158.548,501.188,7,4.56373
3,1,662.317,401.381,19,4.79959
4,1,629.278,590,2.55229,2.31044
5,1,32.6,517.852,11,3.14341
6,1,35.979,272.8,5,0.779478
7,1,72.3949,156.484,11,6.25749
8,1,575.593,590,11.3046,3.05482
9,1,205.551,223.77,10,2.86
0,1,46.9997,323.578,17,1.03585
1,1,453.991,427.245,6,6.23927
2,1,158.445,512.256,7,4.56373
3,1,662.482,411.248,19,4.79959
4,1,629.106,590,2.50124,-2.31044
5,1,31.5,529.61,11,3.14341
6,1,36.3346,284.912,5,0.779478
7,1,73.4946,168.216,11,6.25749
8,1,574.466,590,11.0785,-3.05482
9,1,204.591,235.808,10,2.86
0,1,47.8664,338.368,17,1.03585
1,1,454.591,440.547,6,6.23927
2,1,158.341,524.892,7,4.56373
3,1,662.647,422.684,19,4.79959
4,1,628.937,590,2.45122,2.31044
5,1,30.4,542.936,11,3.14341
6,1,36.6902,298.591,5,0.779478
7,1,74.5942,181.516,11,6.25749
8,1,573.363,590,10.857,3.05482
9,1,203.63,249.414,10,2.86
0,1,47.8664,338.368,17,1.03585
1,1,454.591,440.547,6,6.23927
2,1,158.341,524.892,7,4.56373
3,1,662.647,422.684,19,4.79959
4,1,628.937,590,2.45122,2.31044
5,1,30.4,542.936,11,3.14341
6,1,36.6902,298.591,5,0.779478
7,1,74.5942,181.516,11,6.25749
8,1,573.363,590,10.857,3.05482
9,1,203.63,249.414,10,2.86
0,1,48.733,354.825,17,1.03585
1,1,455.19,455.514,6,6.23927
2,1,158.237,539.193,7,4.56373
3,1,662.813,435.785,19,4.79959
4,1,628.772,590,2.40219,-2.31044
5,1,29.3,557.928,11,3.14341
6,1,37.0459,313.937,5,0.779478
7,1,75.6939,196.482,11,6.25749
8,1,572.281,590,10.6398,-3.05482
9,1,202.67,264.686,10,2.86
0,1,49.5997,373.045,17,1.03585
1,1,455.79,472.246,6,6.23927
2,1,158.134,555.259,7,4.56373
3,1,662.978,450.65,19,4.79959
4,1,628.61,590,2.35415,2.31044
5,1,28.2,574.684,11,3.14341
6,1,37.4015,331.046,5,0.779478
7,1,76.7935,213.211,11,6.25749
8,1,571.221,590,10.427,3.05482
9,1,201.709,281.722,10,2.86
0,1,50.4663,393.128,17,1.03585
1,1,456.389,490.84,6,6.23927
2,1,158.03,573.187,7,4.56373
3,1,663.144,467.377,19,4.79959
4,1,628.451,592.036,2.35415,2.31044
5,1,27.1,593.302,11,3.14341
6,1,37.7572,350.018,5,0.779478
7,1,76.7935,213.211,11,6.25749
8,1,571.221,590,10.427,3.05482
9,1,201.709,281.722,10,2.86
0,1,50.4663,393.128,17,1.03585
1,1,456.389,490.84,6,6.23927
2,1,158.03,573.187,7,4.56373
3,1,663.144,467.377,19,4.79959
4,1,628.451,590,2.30707,-2.31044
5,1,27.1,590,10.78,-3.14341
6,1,37.7572,350.018,5,0.779478
7,1,77.8931,231.803,11,6.25749
8,1,570.182,590,10.2185,-3.05482
9,1,200.748,300.62,10,2.86
0,1,51.333,415.17,17,1.03585
1,1,456.989,511.393,6,6.23927
2,1,157.926,590,6.86,-4.56373
3,1,663.309,486.064,19,4.79959
4,1,628.296,590,2.26093,2.31044
5,1,26.022,590,10.5644,3.14341
6,1,38.1128,370.949,5,0.779478
7,1,78.9928,252.355,11,6.25749
8,1,569.164,590,10.0141,3.05482
9,1,199.788,321.478,10,2.86
0,1,52.1996,439.271,17,1.03585
